the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E61000001B9F87E267C752C078DA96D867FE4340,0101000020110F0000BC6EBACDDCE55FC192FA0D19218E5241,334982,2016.0,201624094849,0411,2016-10-02,12:52:00,B,M,30,back,N,N,N,2900 BLOCK Marha St,0,-75.11571563,39.98754413,24,0,1,0,39.98754413,-75.11571563
0101000020E6100000B10E4FC871C752C04D5F741E3A024440,0101000020110F0000F75F9B9DEDE55FC1116D45BB5D925241,334983,2017.0,201725030669,0411,2017-04-17,01:03:00,W,F,21,multi,N,N,N,4400 BLOCK Whitaker Ave,1,-75.11631973,40.01739865,25,0,1,0,40.01739865,-75.11631973
0101000020E6100000B10E4FC871C752C04D5F741E3A024440,0101000020110F0000F75F9B9DEDE55FC1116D45BB5D925241,334984,2017.0,201725030670,0411,2017-04-17,01:03:00,W,M,22,foot,N,N,N,4400 BLOCK Whitaker Ave,1,-75.11631973,40.01739865,25,0,1,0,40.01739865,-75.11631973
0101000020E61000004C4AC5EFBBCE52C0BF38863A8BF74340,0101000020110F0000AADA5C774FF25FC1F33D4DAF86865241,334985,2017.0,201712026029,0411,2017-04-17,14:38:00,B,M,24,leg,N,N,N,1900 BLOCK S Redfield St,0,-75.23022074,39.93393642,12,0,1,0,39.93393642,-75.23022074
0101000020E6100000DEF96E886BCE52C0D4D6042878FC4340,0101000020110F0000A8467EE4C6F15FC1C8B03BB2FB8B5241,334986,2017.0,201719031738,0411,2017-04-17,16:35:00,B,M,51,thigh,N,N,N,5100 BLOCK W Stiles St,0,-75.22531329,39.97241688,19,0,1,0,39.97241688,-75.22531329
0101000020E6100000B10E4FC871C752C04D5F741E3A024440,0101000020110F0000F75F9B9DEDE55FC1116D45BB5D925241,334987,2017.0,201725030671,0411,2017-04-17,01:03:00,W,M,14,calf,N,N,N,4400 BLOCK Whitaker Ave,1,-75.11631973,40.01739865,25,0,1,0,40.01739865,-75.11631973
0101000020E6100000B35D2548FAC952C0ECA9EEF477024440,0101000020110F00005A5636283BEA5FC14275F74EA2925241,334988,2017.0,201739028960,0411,2017-04-18,19:34:00,B,M,51,arm,N,N,N,4300 BLOCK Germantown Ave,0,-75.15590099,40.0192858,39,0,1,0,40.01928579,-75.15590099
0101000020E61000009A35C2ECEFC952C0C25E93FBBE074440,0101000020110F0000D166909029EA5FC1C375400B7D985241,334989,2017.0,201714030326,0411,2017-04-18,10:25:00,B,M,19,abdom,N,N,N,7000 BLOCK Louise Rd,0,-75.15526885,40.06051583,14,0,1,0,40.06051583,-75.15526885
0101000020E6100000749E0CE98BC852C07C800FDA82054440,0101000020110F00004DB498D6CCE75FC10C19234002965241,334990,2017.0,201735031371,0411,2017-04-19,02:11:00,B,M,27,multi,N,N,N,700 BLOCK W Champlost Ave,0,-75.13353945,40.04305578,35,0,1,0,40.04305578,-75.13353945
0101000020E6100000BF677FFB15C952C0699CD9F0EC004440,0101000020110F0000C28F185EB7E85FC1C52FA846EC905241,334991,2017.0,201725031504,0411,2017-04-19,18:27:00,W,M,28,back,N,N,N,3600 BLOCK N 8th St,1,-75.1419667,40.00723086,25,0,1,0,40.00723086,-75.1419667
0101000020E6100000E0A482ED54C952C013E4B1B071054440,0101000020110F0000C3325E4922E95FC1DC6C3B36EF955241,334992,2017.0,201735031975,0411,2017-04-20,23:00:00,B,M,29,multi,N,N,N,1400 BLOCK Conlyn St,0,-75.14580858,40.04253205,35,0,1,0,40.04253205,-75.14580858
0101000020E6100000588D67C81FCB52C02E12450EB2FF4340,0101000020110F0000154FB5B22DEC5FC1E266EA278F8F5241,334993,2017.0,201739029435,0411,2017-04-20,17:53:00,B,M,26,hand,N,N,N,2600 BLOCK W Seltzer St,0,-75.17381487,39.99762133,39,0,1,0,39.99762133,-75.17381487
0101000020E6100000610D614642C952C0C774B6BA7B084440,0101000020110F00001DBB539A02E95FC1D63AAA7F4E995241,334994,2017.0,201714031107,0411,2017-04-20,11:38:00,B,M,21,pelvis,N,N,N,1700 BLOCK W Cheltenham Ave,0,-75.1446701,40.06627592,14,0,1,0,40.06627592,-75.1446701
0101000020E610000051418F620AC752C04CFFED0D99044440,0101000020110F0000880213FC3DE55FC1AAE3B1E4FE945241,334995,2017.0,201702021202,0411,2017-04-20,00:15:00,B,M,29,leg,N,N,N,5500 BLOCK Hill Creek Circle,0,-75.11000885,40.03592085,02,0,1,0,40.03592085,-75.11000885
0101000020E6100000B31078BB39CA52C0EB760F3328064440,0101000020110F0000608821EFA6EA5FC1C8F7EEB0B9965241,335405,2016.0,201614045273,0411,2016-06-05,22:20:00,B,M,20,arm,N,N,N,5500 BLOCK Blakemore St,0,-75.1597737,40.0481018,14,0,1,0,40.04810179,-75.1597737
0101000020E6100000461273FF47C852C07CFC730BBC044440,0101000020110F0000F7DF677B59E75FC194D50DB525955241,335406,2016.0,201635049161,0411,2016-06-06,00:45:00,W,M,17,shoul,N,N,N,5600 BLOCK N Lawrence St,1,-75.1293944,40.03698867,35,0,1,0,40.03698867,-75.1293944
0101000020E6100000FBF8F84210CA52C08573D387AAFE4340,0101000020110F0000EC84F17D60EA5FC17DCE78046B8E5241,335407,2016.0,201622047767,0411,2016-06-06,20:20:00,B,M,19,leg,N,N,N,1500 BLOCK W York St,0,-75.15724253,39.98957918,22,0,1,0,39.98957918,-75.15724253
0101000020E6100000AEE7F73F78CB52C0AD0210D2AEF74340,0101000020110F0000BBDDDFF7C3EC5FC15C2A6E1BAE865241,335408,2016.0,201617026139,0411,2016-06-06,15:20:00,B,M,34,leg,N,N,N,1300 BLOCK S 21st St,0,-75.17921447,39.93502261,17,0,1,0,39.9350226,-75.17921447
0101000020E610000031D1411378CA52C0C3F806B2E0F74340,0101000020110F00001DE46FD410EB5FC1451CC359E5865241,335409,2016.0,201603032270,0411,2016-06-06,21:52:00,B,M,29,multi,N,N,N,1200 BLOCK Peters St,0,-75.16357881,39.93654466,03,0,1,0,39.93654466,-75.16357881
0101000020E61000002C4597DC4DC852C0D18206512DFF4340,0101000020110F000068D83E7163E75FC17C64ECFFFB8E5241,335410,2016.0,201624055371,0411,2016-06-07,01:49:00,W,M,30,leg,N,N,N,2800 BLOCK N Lee St,1,-75.1297523,39.99357045,24,0,1,0,39.99357045,-75.1297523
0101000020E6100000D7911B2C79C552C066773705E8014440,0101000020110F00004A3E097C94E25FC1BBFB4EB002925241,335411,2016.0,201615054780,0411,2016-06-07,00:15:00,B,M,19,hand,N,N,N,4600 BLOCK Frankford Ave,0,-75.08552077,40.0148932,15,0,1,0,40.0148932,-75.08552077
,,335412,2016.0,201635096826,0411,2016-11-11,19:53:00,B,M,27,multi,N,N,N,6600 BLOCK N 15thSt,0,,,35,0,1,0,,
0101000020E6100000945097180DCB52C091C0F6FE4C034440,0101000020110F00005074EBF40DEC5FC1292E50948E935241,335413,2016.0,201639092751,0411,2016-11-11,20:15:00,B,M,23,multi,N,N,N,5200 BLOCK Pulaski Ave,0,-75.17267432,40.02578723,39,0,1,0,40.02578723,-75.17267432
0101000020E61000000771ED5D66CE52C0058FCAA88DF94340,0101000020110F0000CE70151EBEF15FC1CE732D8AC0885241,335414,2016.0,201618084076,0411,2016-11-13,20:02:00,B,M,53,hip,N,N,N,600 BLOCK S 51st St,0,-75.22499798,39.9496356,18,0,1,0,39.9496356,-75.22499798
,,335415,2016.0,201635096730,0411,2016-11-11,14:51:00,B,M,29,multi,N,N,N,5100 BLOCK N12th St,0,,,35,0,1,0,,
0101000020E61000000C63C1B3F3C852C0E9CA2DCE14F44340,0101000020110F000022589D237DE85FC12D1CD610B1825241,335416,2016.0,201603064161,0411,2016-11-14,03:30:00,B,M,22,leg,N,N,N,2900 BLOCK S Christopher Columbus Blvd,0,-75.1398744,39.90688493,03,0,1,0,39.90688493,-75.1398744
0101000020E61000009CB8452EB2CE52C02BFE8C5E4FF74340,0101000020110F0000C9491CE53EF25FC19A1E836244865241,335417,2016.0,201612078231,0411,2016-11-14,13:36:00,B,M,15,buttocks,N,N,N,2000 BLOCK S 60th St,0,-75.22962529,39.93210966,12,0,1,0,39.93210966,-75.22962529
0101000020E61000006DE62DAA07C852C0649787D0B1FE4340,0101000020110F0000876BB134ECE65FC11E578617738E5241,335418,2016.0,201626057601,0411,2016-11-14,21:27:00,W,M,22,hand,N,N,N,1800 BLOCK E Lehigh Ave,1,-75.12546782,39.98980147,26,0,1,0,39.98980147,-75.12546782
0101000020E6100000A9522FCF75CA52C0D37F3927B4054440,0101000020110F0000604120FB0CEB5FC17EFDFDF138965241,335419,2016.0,201614092137,0411,2016-11-14,22:50:00,B,M,26,foot,N,N,N,5600 BLOCK Chew Ave,0,-75.16344051,40.04456034,14,0,1,0,40.04456034,-75.16344051
0101000020E6100000B30A59E59BCB52C00521936B8EFF4340,0101000020110F00005BEE3F8400ED5FC1CD532CA6678F5241,335420,2016.0,201622092862,0411,2016-11-15,16:38:00,B,M,69,shoulder,N,N,N,2600 BLOCK N Stanley St,0,-75.18139013,39.99653382,22,0,1,0,39.99653382,-75.18139013
0101000020E61000004B6A9182A1CF52C040B2CA9676F54340,0101000020110F0000A6DE796BD5F35FC13B81FECB38845241,335421,2016.0,201612078413,0411,2016-11-15,11:35:00,B,M,19,ankle,N,N,N,7200 BLOCK Saybrook Ave,0,-75.24423279,39.91768155,12,0,1,0,39.91768155,-75.24423279
0101000020E610000088B79414D4CE52C0064A4C48D2F74340,0101000020110F00008E45177A78F25FC103D6D462D5865241,335422,2016.0,201612078481,0411,2016-11-15,17:19:00,B,M,28,arm,N,N,N,5900 BLOCK Belmar St,0,-75.23169436,39.93610481,12,0,1,0,39.93610481,-75.23169436
,,335423,2016.0,201639094099,0411,2016-11-16,21:30:00,B,M,24,multi,N,N,N,17th & Erie Ave,0,,,39,0,1,0,,
0101000020E6100000BD1B0B0A83CE52C05B006432E6FA4340,0101000020110F00009C5B02D2EEF15FC1122A40453E8A5241,335424,2016.0,201618084913,0411,2016-11-17,02:23:00,B,M,30,arm,N,N,N,5200 BLOCK Market St,0,-75.226748,39.96015005,18,0,1,0,39.96015005,-75.226748
