DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
3,32XX MOOSEWOOD AV,39.1420830424414,-84.5518009226758,MILLVALE,MILLVALE,976,31004605,1,,BLACK,MALE,18,NONFATAL,05/21/2010 12:00:00 AM,MAY,,N/A,FRI,31004605,05/21/2010 12:00:00 AM,DISTRICT 3,45225,MILLVALE
3,21XX QUEEN CITY AV,39.1283569676487,-84.5741715604831,SOUTH FAIRMOUNT,WESTWOOD,2694,149018102,1,"CINCINNATI, OH 45211",BLACK,MALE,36,FATAL,07/25/2014 12:00:00 AM,JUL,212500,21,FRI,149018102,07/25/2014 09:25:00 PM,DISTRICT 3,45214,SOUTH FAIRMOUNT - WESTWOOD
5,42XX HAMILTON AV,39.1628825045,-84.5404903990123,NORTHSIDE,NORTHSIDE,3475,169012206,1,"CINCINNATI, OH 45211",BLACK,MALE,37,NONFATAL,05/21/2016 12:00:00 AM,MAY,235000,23,SAT,169012206,05/21/2016 11:50:00 PM,DISTRICT 5,,NORTHSIDE
,X GARFIELD PL,39.1046974686574,-84.513225295584,CBD/RIVERFRONT,DOWNTOWN,2678,149016440,3,0,BLACK,FEMALE,18,NONFATAL,07/08/2014 12:00:00 AM,JUL,001700,0,TUE,149016440,07/08/2014 12:17:00 AM,CENTRAL BUSINESS SECTION,45202,DOWNTOWN
5,53XX BETTMAN DR,39.1880651081809,-84.510579287964,WINTON HILLS,WINTON HILLS,4471,189029910,1,,BLACK,MALE,17,NONFATAL,11/09/2018 12:00:00 AM,NOV,234000,23,FRI,189029910,11/09/2018 11:40:00 PM,DISTRICT 5,,WINTON HILLS
3,35XX WARSAW AV,39.1099479192628,-84.5690116967584,EAST PRICE HILL,EAST PRICE HILL,3662,169024922,1,"CINCINNATI, OH 45232",BLACK,MALE,22,NONFATAL,09/24/2016 12:00:00 AM,SEP,202500,20,SAT,169024922,09/24/2016 08:25:00 PM,DISTRICT 3,,EAST PRICE HILL
1,16XX LOCKHURST LN,39.1147059478557,-84.5298003016761,WEST END,WEST END,3581,169018463,1,,BLACK,MALE,18,FATAL,07/23/2016 12:00:00 AM,JUL,054800,5,SAT,169018463,07/23/2016 05:48:00 AM,DISTRICT 1,,WEST END
2,15XX GILPIN AV,39.1326034796921,-84.4788336852925,EVANSTON,EVANSTON,1080,21003748,2,"CINC, OH 45213",BLACK,MALE,25,FATAL,08/19/2010 12:00:00 AM,AUG,,N/A,THU,21003748,08/19/2010 12:00:00 AM,DISTRICT 2,45206,WALNUT HILLS
4,48XX PADDOCK RD,39.1750573920374,-84.4774589442028,BOND HILL,BOND HILL,4736,199019072,1,,BLACK,MALE,18,NONFATAL,08/21/2019 12:00:00 AM,AUG,223000,22,WED,199019072,08/21/2019 10:30:00 PM,DISTRICT 4,,BOND HILL
1,18XX BAYMILLER ST,39.1161179559311,-84.5286812768933,WEST END,WEST END,553,10901883,1,,BLACK,MALE,17,NONFATAL,05/09/2009 12:00:00 AM,MAY,,N/A,SAT,10901883,05/09/2009 12:00:00 AM,DISTRICT 1,45214,WEST END
5,1XX CRAFT ST,39.1783057935172,-84.5109934771854,WINTON HILLS,WINTON HILLS,3014,159012073,1,"CINCINNATI, OH 45212",BLACK,MALE,27,NONFATAL,05/14/2015 12:00:00 AM,MAY,153600,15,THU,159012073,05/14/2015 03:36:00 PM,DISTRICT 5,45232,WINTON HILLS
1,19XX CENTRAL AV,39.1200077548404,-84.524903981066,WEST END,WEST END,1216,11005222,1,"CINC., OH 45219",BLACK,MALE,26,FATAL,11/13/2010 12:00:00 AM,NOV,,N/A,SAT,11005222,11/13/2010 12:00:00 AM,DISTRICT 1,45214,OTR
1,17XX RACE ST,39.1155746079778,-84.5180217643924,OVER-THE-RHINE,OVER-THE-RHINE,694,10903969,1,,BLACK,MALE,23,NONFATAL,08/26/2009 12:00:00 AM,AUG,,N/A,WED,10903969,08/26/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,6XX GREENWOOD AV,39.1526114236259,-84.4903910595214,NORTH AVONDALE,AVONDALE,3399,169005121,1,"CINCINNATI, OH 45211",BLACK,MALE,22,NONFATAL,03/05/2016 12:00:00 AM,MAR,210000,21,SAT,169005121,03/05/2016 09:00:00 PM,DISTRICT 4,,AVONDALE - NORTH AVONDALE
